Entity,Code,Year,Nitrogen oxides,Sulfur dioxide,Carbon monoxide,Black carbon,Ammonia,Non-methane volatile organic compounds
China,CHN,1974,3876493.8,8053544,107932120,923925.8,7333739.5,11942052
China,CHN,1975,4361760.5,9354705,114033930,1003860.9,7483604,12482302
China,CHN,1976,4492746,9449687,115754584,1021483.3,7617814.5,12722322
China,CHN,1977,4995958.5,10871277,121319736,1100352.4,7750973,13230617
China,CHN,1978,5647878,12052938,126592030,1168518.2,7882112,13776711
China,CHN,1979,5842942,12302604,129229460,1164146.9,8003809.5,14125996
China,CHN,1980,5861651.5,11667600,131532950,1109387.8,8122283,14210102
China,CHN,1981,5790833.5,11755982,132555940,1103822,8234116,14215158
China,CHN,1982,6016494,12292300,136050820,1126373.1,8348354.5,14546963
China,CHN,1983,6341566,12903291,140356200,1159832.5,8470503,15054807
China,CHN,1984,6865681.5,14079048,145586910,1217747.4,8604033,15620246
China,CHN,1985,7055181,14532775,153122400,1244417.5,8740977,16088695
China,CHN,1986,7538383,15215934,157351870,1300672.4,8898568,16630041
China,CHN,1987,8178813.5,16234171,162795500,1357525.1,9077785,17287906
China,CHN,1988,8836000,17354670,168975250,1406038.1,9252219,17993174
China,CHN,1989,9323502,17503316,170809650,1446123.8,9427607,18427898
China,CHN,1990,9580008,17720734,171100780,1485995.4,9590476,18709704
China,CHN,1991,10263475,18157064,179946960,1474011.6,9736394,19728138
China,CHN,1992,11167286,18769698,184652420,1480158,9869470,20615492
China,CHN,1993,12050402,19810218,193853580,1584117.2,9982474,21930898
China,CHN,1994,12575701,20695586,193630000,1726500,10091877,21802006
China,CHN,1995,13855062,22363832,198852980,1921946.5,10193029,22720822
China,CHN,1996,14915788,21883608,194293000,1806960.9,10285181,23421086
China,CHN,1997,14469632,21651726,202188900,1855271.1,10356588,24030716
China,CHN,1998,14770728,21352168,197387490,1666635.6,10423426,23791700
China,CHN,1999,15047995,20393326,196320260,1568363.5,10487374,23990262
China,CHN,2000,16321774,20988480,197774430,1483103.9,10529420,24498794
China,CHN,2001,16653906,21860396,194014620,1507226.1,10556918,24078566
China,CHN,2002,17720728,23235868,190921900,1504815.6,11062269,24303680
China,CHN,2003,20128142,27025604,199222720,1547816,10960972,24819844
China,CHN,2004,22974896,31871966,206839460,1621011.5,10974936,25969248
China,CHN,2005,25027820,37032770,212407500,1695364.5,11315620,26535102
China,CHN,2006,27099222,38106840,215306240,1726354.8,11724518,26740828
China,CHN,2007,28593190,37677076,211555020,1710239.9,11772411,26265242
China,CHN,2008,29032060,35589424,201032770,1670154,11994871,26103896
China,CHN,2009,28852358,33376766,202762800,1668308.5,12011467,26546354
China,CHN,2010,28932816,30737120,200864100,1691125.4,12020128,28033806
China,CHN,2011,31145728,31924896,198534660,1675846.1,12395740,28859924
China,CHN,2012,31612264,31197390,196536080,1665162.5,12563745,30094124
China,CHN,2013,30139322,28252182,194264800,1583970.4,12509572,30062010
China,CHN,2014,27716190,23278252,181692670,1463695.5,12434794,30974468
China,CHN,2015,26377308,19735922,170748590,1336716.1,12380049,30427836
China,CHN,2016,25173388,16246622,159170420,1249428.6,12230619,30461682
China,CHN,2017,24625388,13366981,153032560,1234337.1,12182329,30683718
China,CHN,2018,23805978,12396312,146721520,1174918.6,12231544,30335260
China,CHN,2019,22269610,11481979,139488750,1104018.2,12276450,29716510
China,CHN,2020,21530846,10415895,136644500,1087651.5,12314406,29175252
China,CHN,2021,21707292,10327900,134390030,1086842.1,12353693,29175710
China,CHN,2022,20988510,10382385,131307220,1061514.2,12373062,28647846
